,Accx,Accy,Accz,Gyrx,Gyry,Gyrz,Entr
176,-4.043413621,0.626453113,5.276820585,-0.23852,-0.03723,-0.00582,3
177,-4.059705908,0.387179801,4.937784675,-0.1338,0.01047,-0.01396,3
178,-4.296515346,0.106548342,4.744751112,-0.01745,0.00233,-0.00931,3
179,-4.18659883,-0.00304328,4.720073052,0.10123,-0.00349,-0.00814,3
180,-4.433118051,-0.013463528,4.527473536,0.18733,-0.0128,-0.00233,3
181,-4.349836262,-0.168194432,3.805335071,0.21874,-0.01047,-0.00116,3
182,-4.354697711,0.209849088,3.550464088,0.09192,0.09425,-0.03491,3
183,-4.377737544,0.497376634,3.574203611,-0.10006,-0.04305,-0.09075,3
184,-4.365105232,0.767987121,3.417534079,-0.13264,0.04421,-0.03374,3
185,-4.434744993,0.945365292,3.653294351,-0.16057,0.01745,-0.01396,3
186,-4.517300572,0.954988735,3.837261747,-0.19547,0.01862,-0.01745,3
187,-4.724157423,1.085679653,4.084995253,-0.21525,0.01513,-0.01978,3
188,-4.742708072,1.344345702,4.327763837,-0.18267,0.0128,-0.01396,3
189,-4.880108972,1.340541758,4.704580911,-0.13031,0.00698,-0.01745,3
190,-4.672551799,1.536531521,4.967664691,-0.05818,0.00582,-0.01047,3
191,-4.731796289,1.526053918,5.398557002,0.03374,-0.00116,-0.01047,3
192,-4.741195792,1.77648074,5.704575718,0.14079,-0.00814,-0.00349,3
193,-4.410194477,1.677691479,6.135014033,0.27459,-0.01164,0.00116,3
194,-4.323281445,1.504820302,6.419991553,0.41887,-0.01978,0.00349,3
195,-4.117026323,1.2590493,6.612184497,0.54104,0.30019,0,3
196,-4.323602393,1.382668823,6.877279336,0.52707,0.2711,-0.08145,3
197,-4.200858548,1.111658505,7.108501766,-0.18616,-0.27343,-0.04072,3
198,-4.063417188,0.854836948,7.30322719,-0.16406,-0.08494,-0.06399,3
199,-4.143213822,0.464295916,7.227619704,-0.16987,-0.10123,0.02094,3
200,-4.435628181,0.083050116,7.126560273,-0.01978,-0.02327,0.00931,3
201,-4.435358825,-0.027832587,6.804543536,0.11868,-0.01047,-0.00582,3
202,-4.642621692,-0.152586971,6.87813143,0.22689,-0.00582,-0.00931,3
203,-4.559852078,-0.353673658,7.139068878,-0.04538,-0.04189,-0.01629,3
204,-4.697775824,-0.395671881,6.900830403,-0.15009,0.06865,-0.0128,3
205,-4.517767331,-0.466328198,6.643989459,-0.08843,0.00698,-0.00814,3
206,-4.642938752,-0.368426419,6.223314459,-0.08377,0.00698,-0.00814,3
207,-4.532587178,-0.334644473,5.925825152,-0.04887,0.00465,-0.01047,3
