,Accx,Accy,Accz,Gyrx,Gyry,Gyrz,Entr
446,-3.142431181,-2.075878523,-1.579928066,-5.78967,-2.75405,-1.14723,3
447,-2.877992669,-1.711474031,-2.856146181,-5.63725,-2.81222,-1.0588,3
448,-2.27949781,-1.088893715,-3.822792583,-5.42432,-2.89949,-0.95176,3
449,-1.652907704,-0.504852315,-4.668368735,-4.98568,-3.4731,-0.92383,3
450,-0.995362029,-0.270428092,-5.067294658,-4.36087,-3.71861,-0.65855,3
451,-0.385052569,0.30376783,-5.410144917,-4.10489,-4.09908,-0.67019,3
452,0.228906414,0.895324106,-5.655291244,-3.73489,-4.76345,-0.80981,3
453,0.976213391,1.49894316,-5.304471846,-3.63716,-5.33241,-1.07975,3
454,1.752015406,2.170309895,-4.825184619,-3.24273,-5.89439,-1.26474,3
455,2.837255558,2.911057685,-4.200761857,-3.35442,-6.65184,-1.89421,3
456,4.078035487,3.935118892,-3.157450732,-3.45449,-7.19287,-2.35613,3
457,5.118914955,4.630488764,-1.912403821,-4.12118,-7.71646,-2.70983,3
458,6.271761286,5.400403266,-0.517564216,-5.27656,-9.2651,-1.12978,3
459,7.086242585,5.753263619,0.928748677,-5.29401,-9.26161,-1.07625,3
460,7.669029626,5.796089001,2.466658337,-6.39819,-9.5234,0.07214,3
461,8.078862606,5.953531795,4.30006232,-6.14803,-9.09755,0.07563,3
462,8.21414882,5.653845674,5.544277133,-6.1492,-9.0929,0.1117,3
463,8.175068198,5.124640038,6.575075167,-6.80775,-10.09934,0.31648,3
464,7.697984112,4.56383969,7.337192806,-7.144,-10.6939,0.21176,3
465,7.264669192,4.209863683,8.028286688,-7.79208,-11.32453,0.10006,3
466,6.427339211,3.622474721,8.131978041,-7.58381,-11.2966,0.3095,3
467,5.708944508,2.762641194,8.016420421,-8.13998,-11.09415,0.25016,3
468,4.910034275,2.147209733,7.683646034,-7.97708,-11.25588,0.35371,3
469,4.011146836,1.431096613,6.639939748,-6.87174,-11.66427,-0.06748,3
470,2.905327619,0.353472651,5.432291168,-6.81938,-11.88069,-0.10355,3
